frame_idx,timestamp_sec,timestamp_nanosec,timestamp_total_sec,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,num_detected,num_matched,num_inliers,inlier_ratio,feature_survival_rate,feature_vel_mean,feature_vel_max,consecutive_low_inliers,failure_triggered_streak,window_low_inlier_pct,failure_triggered_window,rel_tx,rel_ty,rel_tz,rel_rot_deg
85,9,43000000,9.043000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,1,0.0005,1.0000,0.0641,2.0576,86,True,100.00,True,0.0,0.0,0.0,0.00
86,9,76000000,9.076000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,3,0.0015,1.0000,0.0148,0.8397,87,True,100.00,True,0.0,0.0,0.0,0.00
87,9,109000000,9.109000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0099,0.8532,88,True,100.00,True,0.0,0.0,0.0,0.00
88,9,142000000,9.142000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0001,0.0069,89,True,100.00,True,0.0,0.0,0.0,0.00
89,9,175000000,9.175000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0000,90,True,100.00,True,0.0,0.0,0.0,0.00
90,9,208000000,9.208000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0119,0.8174,91,True,100.00,True,0.0,0.0,0.0,0.00
91,9,241000000,9.241000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0003,0.0626,92,True,100.00,True,0.0,0.0,0.0,0.00
92,9,274000000,9.274000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0000,0.0000,93,True,100.00,True,0.0,0.0,0.0,0.00
93,9,307000000,9.307000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,1,0.0005,1.0000,0.0426,1.7959,94,True,100.00,True,0.0,0.0,0.0,0.00
94,9,340000000,9.340000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000,2000,0,0.0000,1.0000,0.0642,2.0527,95,True,100.00,True,0.0,0.0,0.0,0.00
